,Rank, ,Code,Company,Price,Change,% Chg,Mkt Cap,1 Year
268,269,down,MSB,Mesoblast Limited,$1.525,-0.01,-0.65%,$760.41 M,+3.39%
269,270,up,ARF,Arena REIT FP Ordinary/Units Stapled Securities,$2.78,+0.05,+1.83%,$756.03 M,+26.36%
270,271,up,RFF,Rural Funds Group FP Units Stapled Securities,$2.26,+0.05,+2.26%,$755.44 M,+11.74%
271,272,up,EHE,Estia Health Limited,$2.89,+0.01,+0.35%,$753.14 M,-16.72%
272,273,no change,BGP,Briscoe Group Foreign Exempt NZX,$3.39,0.00,0.00%,$752.38 M,+4.95%
273,274,up,ELD,Elders Limited,$6.42,+0.1,+1.58%,$749.45 M,-20.15%
274,275,up,MVW,Vaneck EQUAL Weight ETF Units FP,$29.50,+0.16,+0.55%,$749.29 M,+3.91%
275,276,up,IAF,Ishares Comp BND ETF Units FP,$111.76,+0.01,+0.01%,$748.53 M,+5.40%
276,277,no change,MXT,MCP Master Income Ordinary Units FP,$2.03,0.00,0.00%,$739.17 M,+0.73%
277,278,no change,AVH,Avita Medical Limited,$0.395,0.00,0.00%,$736.45 M,+674.51%
278,279,down,BUB,Bubs Aust Limited,$1.415,-0.065,-4.39%,$721.07 M,+82.58%
279,280,down,VRL,Village Roadshow Limited,$3.71,-0.04,-1.07%,$720.88 M,+73.94%
280,281,up,GDI,GDI Property Group FP Ordinary/Units Stapled Securities,$1.335,+0.005,+0.38%,$720.34 M,+6.38%
281,282,no change,INA,Ingenia Group FP Ordinary/Units Stapled Securities,$3.03,0.00,0.00%,$716.22 M,+12.22%
282,283,down,HSN,Hansen Technologies,$3.62,-0.02,-0.55%,$714.15 M,-18.65%
283,284,down,OMH,Om Holdings Limited 10c,$0.96,-0.02,-2.04%,$709.08 M,-14.67%
284,285,up,SGF,SG Fleet Group Limited,$2.67,+0.09,+3.49%,$699.26 M,-30.65%
285,286,down,IEU,Ishs Europe ETF ETF Units FP,$62.52,-0.33,-0.53%,$697.24 M,-2.72%
286,287,up,DJW,Djerriwarrh,$3.11,+0.01,+0.32%,$692.59 M,-6.04%
287,288,up,AAC,Australian Agricult,$1.14,+0.02,+1.79%,$687.15 M,+1.79%
288,289,no change,VG1,Vgi Partners Global,$2.46,0.00,0.00%,$685.37 M,+13.36%
289,290,down,MP1,Megaport Limited,$5.10,-0.09,-1.73%,$685.26 M,+43.26%
290,291,down,FXL,Flexigroup Limited,$1.71,-0.06,-3.39%,$674.41 M,-15.35%
291,292,up,PNV,Polynovo Limited,$1.02,+0.005,+0.49%,$674.31 M,+94.29%
292,293,no change,CBL,CBL Corporation Limited Foreign Exempt NZX,$2.82,0.00,0.00%,$664.89 M,0.00%
293,294,down,GXY,Galaxy Resources,$1.61,-0.04,-2.42%,$656.11 M,-49.69%
294,295,up,MOE,Moelis Australia Limited,$4.19,+0.11,+2.70%,$652.14 M,-25.84%
295,296,up,API,Australian Pharm,$1.32,+0.005,+0.38%,$650.14 M,-3.65%
296,297,up,IEM,Ishs MSCI Emg Mktetf ETF Units FP,$60.17,+0.01,+0.02%,$637.29 M,-3.65%
297,298,up,PSI,PSC Insurance Limited,$2.59,+0.08,+3.19%,$636.82 M,-5.82%
298,299,up,GOLD,ETFs Physical GOLD,$173.25,+0.39,+0.23%,$633.51 M,+4.08%
299,300,down,AMA,AMA Group Limited,$1.17,-0.015,-1.27%,$630.83 M,+19.39%
300,301,no change,OCA,Oceania Healthc Limited Foreign Exempt NZX,$1.03,0.00,0.00%,$628.56 M,+11.35%
301,302,down,SLR,Silver Lake Resource,$0.76,-0.005,-0.65%,$621.81 M,+18.75%
302,303,up,SHV,Select Harvests,$6.49,+0.19,+3.02%,$619.60 M,+4.17%
303,304,down,NGI,Navigator Global Limited,$3.78,-0.21,-5.26%,$612.92 M,-4.55%
304,305,up,LIC,Lifestyle Communit,$5.75,+0.05,+0.88%,$601.14 M,+11.43%
305,306,up,ALG,Ardentleisuregrpltd,$1.24,+0.01,+0.81%,$594.84 M,-17.06%
306,307,down,RDC,Redcape Hotel Group FP Units Stapled Securities,$1.075,-0.005,-0.46%,$592.80 M,+3.37%
307,308,up,SLF,SPDR S&P/ASX Prop Fu ETF Units FP,$13.66,+0.08,+0.59%,$591.48 M,+5.73%
308,309,up,IMF,IMF Bentham Limited,$2.89,+0.03,+1.05%,$591.32 M,+11.58%
309,310,up,CDA,Codan Limited,$3.30,+0.05,+1.54%,$591.20 M,+31.47%
310,311,up,CVN,Carnarvon Petroleum,$0.44,+0.02,+4.76%,$590.80 M,+151.43%
311,312,down,EHL,Emeco Holdings,$1.825,-0.04,-2.15%,$589.86 M,-39.17%
312,313,down,JMS,Jupiter Mines,$0.30,-0.005,-1.64%,$587.70 M,-14.29%
313,314,up,IFM,Infomedia Limited,$1.88,+0.01,+0.54%,$587.36 M,+113.64%
314,315,down,WSA,Western Areas Limited,$2.13,-0.02,-0.93%,$582.65 M,-35.26%
315,316,up,SIG,Sigma Health Limited,$0.54,+0.005,+0.94%,$572.10 M,-28.48%
316,317,error,HM1,Hearts and Minds,$2.86,0.00,0.00%,$572.00 M,+12.60%
317,318,no change,AKP,Audio Pixels Limited,$20.00,0.00,0.00%,$566.03 M,+8.11%
318,319,down,VGAD,VNGD Intl Shares H ETF Units FP,$67.44,-0.21,-0.31%,$564.16 M,+2.48%
319,320,down,QUAL,Vaneck WLD Xau QUAL ETF Units FP,$26.67,-0.05,-0.19%,$554.27 M,+13.39%
320,321,no change,SST,Steamships Trading 50 Toea,$17.70,0.00,0.00%,$548.85 M,-4.32%
321,322,down,APL,Antipodes Global INV,$0.995,-0.015,-1.49%,$548.80 M,-17.08%
322,323,up,CNI,Centuria Capital FP Ordinary/Units Stapled Securities,$1.43,+0.02,+1.42%,$548.49 M,+4.76%
323,324,no change,RMS,Ramelius Resources,$0.835,0.00,0.00%,$548.07 M,+35.77%
324,325,up,A200,BETAAUSTRALIA200ETF ETF Units FP,$105.60,+0.33,+0.31%,$544.84 M,+4.54%
325,326,down,EQT,Equity HL,$26.51,-0.29,-1.08%,$544.04 M,+29.95%
326,327,down,SFY,SPDR 50 Fund ETF Units FP,$57.88,-0.02,-0.04%,$543.76 M,+3.49%
327,328,up,KGN,Kogan.com Limited,$5.80,+0.05,+0.87%,$543.63 M,-34.61%
328,329,down,WBA,Webster Limited,$1.50,-0.005,-0.33%,$543.37 M,-10.18%
329,330,up,FGG,Future GLB Invest Co,$1.385,+0.01,+0.73%,$542.63 M,+6.54%
330,331,no change,CVW,Clearview Wealth Limited,$0.80,0.00,0.00%,$541.66 M,-33.05%
331,332,up,PRU,Perseus Mining Limited,$0.46,+0.015,+3.37%,$537.03 M,-5.16%
332,333,no change,HLO,Helloworld Travl Limited,$4.29,0.00,0.00%,$534.78 M,-4.88%
333,334,down,GTK,Gentrack Group Limited Foreign Exempt NZX,$5.42,-0.05,-0.91%,$534.66 M,-18.12%
334,335,up,IXJ,Ishs Glob Health ETF ETF Units FP,$84.70,+0.1,+0.12%,$527.34 M,+13.77%
335,336,no change,WGX,Westgold Resources,$1.345,0.00,0.00%,$523.35 M,-12.38%
336,337,up,HT1,HT&E Limited,$1.82,+0.005,+0.28%,$518.77 M,-20.18%
337,338,down,MYR,Myer Holdings Limited,$0.625,-0.01,-1.58%,$513.30 M,+60.26%
338,339,down,NDQ,BETASHARESNASDAQ100 ETF Units FP,$18.73,-0.12,-0.64%,$511.64 M,+16.48%
339,340,up,IAA,Ishs Asia 50 ETF ETF Units FP,$87.29,+0.3,+0.35%,$503.17 M,-3.23%
340,341,down,AHY,Asaleo Care Limited,$0.925,-0.005,-0.54%,$502.39 M,-32.23%
341,342,down,EML,EML Payments Limited,$1.99,-0.03,-1.49%,$498.01 M,+69.36%
342,343,up,IDX,Integral Diagnostics,$3.16,+0.03,+0.96%,$496.33 M,+32.77%
343,344,up,HPI,Hotel Property FP Ordinary/Units Stapled Securities,$3.39,+0.15,+4.63%,$495.30 M,+6.94%
344,345,up,NCK,Nick Scali Limited,$6.06,+0.09,+1.51%,$490.86 M,-12.55%
345,346,down,OPH,Ophir High CF Ordinary Units FP,$2.44,-0.04,-1.61%,$488.00 M,+10.91%
346,347,error,NIC,Nickelmineslimited,$0.435,0.00,0.00%,$481.83 M,+55.36%
347,348,down,NEW,NEW Energy Solar FP Ordinary/Units Stapled Securities,$1.375,-0.015,-1.08%,$480.07 M,-3.17%
348,349,down,SPL,Starpharma Holdings,$1.285,-0.01,-0.77%,$477.63 M,-4.46%
349,350,up,AMI,Aurelia Metals Limited,$0.55,+0.005,+0.92%,$477.33 M,+19.57%
350,351,down,PPC,Peet Limited,$0.98,-0.015,-1.51%,$473.63 M,-25.19%
351,352,no change,WPP,WPP AUNZ Limited,$0.555,0.00,0.00%,$472.94 M,-39.01%
352,353,down,SXY,SENEX Energy Limited,$0.325,-0.005,-1.52%,$472.23 M,-29.35%
353,354,down,SLC,Superloop Limited,$1.86,-0.015,-0.80%,$471.14 M,-16.10%
354,355,no change,CDP,Carindale Property Units FP,$6.70,0.00,0.00%,$469.00 M,-11.49%
355,356,no change,KMD,Kathmandu Hold Limited,$2.06,0.00,0.00%,$465.95 M,-14.88%
356,357,up,RHL,Ruralco Holdings,$4.39,+0.01,+0.23%,$461.18 M,+43.00%
357,358,down,ADI,Apn Industria REIT FP Ordinary/Units Stapled Securities,$2.82,-0.03,-1.05%,$459.21 M,+11.02%
358,359,up,EPW,Erm Power Limited,$1.82,+0.01,+0.55%,$458.56 M,+4.30%
359,360,down,PMC,Platinum Capital Limited,$1.585,-0.015,-0.94%,$457.38 M,-19.75%
360,361,up,FGX,Future Gen Limited,$1.145,+0.01,+0.88%,$454.90 M,-4.98%
361,362,no change,SKT,Sky Network,$1.16,0.00,0.00%,$451.40 M,-43.96%
362,363,down,IRI,Integrated Research,$2.60,-0.02,-0.76%,$446.84 M,-32.47%
363,364,up,MAH,Macmahon Holdings,$0.205,+0.005,+2.50%,$441.77 M,0.00%
364,365,no change,CDD,Cardno Limited,$0.97,0.00,0.00%,$439.20 M,-22.71%
365,366,up,AOF,Australian Unity Off Ordinary Units FP,$2.68,+0.04,+1.52%,$436.39 M,+17.03%
366,367,up,IFN,Infigen Energy FP Ordinary/Units Stapled Securities,$0.455,+0.02,+4.60%,$435.24 M,-38.51%
367,368,up,MAQ,Macquarie Telecom GP,$20.39,+0.09,+0.44%,$433.72 M,+9.04%
368,369,up,QPON,Betaausbanksnrfrbetf ETF Units FP,$25.68,+0.01,+0.04%,$433.70 M,+0.59%
369,370,down,NBI,Nbglobcorpincomtrust Ordinary Units FP,$2.07,-0.01,-0.48%,$428.60 M,+1.47%
370,371,down,FSF,Fonterra Share Fund Ordinary Units FP Foreign Exempt NZX,$4.03,-0.03,-0.74%,$426.68 M,-24.53%
371,372,down,CWP,Cedar Woods Prop,$5.31,-0.05,-0.93%,$425.43 M,-11.06%
372,373,up,WHF,Whitefield Limited,$4.61,+0.03,+0.66%,$423.39 M,-0.22%
373,374,up,BILL,Ishares Core Cash ETF Units FP,$100.28,+0.01,+0.01%,$411.10 M,+0.07%
374,375,up,FAR,FAR Limited,$0.066,+0.004,+6.45%,$407.18 M,-33.33%
375,376,up,URF,US Masters Res Fund Ordinary Units FP,$1.08,+0.06,+5.88%,$406.96 M,-33.74%
376,377,up,WGB,Wam Global Limited,$1.92,+0.005,+0.26%,$406.29 M,-12.73%
377,378,down,RIC,Ridley Corporation,$1.305,-0.02,-1.51%,$401.70 M,-6.79%
378,379,up,PGF,PM Capital Fund,$1.14,+0.005,+0.44%,$401.30 M,-11.63%
379,380,up,PAI,Platinum Asia Limited,$1.102,+0.002,+0.18%,$399.25 M,-14.90%
380,381,down,DCN,Dacian Gold Limited,$1.755,-0.035,-1.96%,$396.13 M,-40.91%
381,382,down,IMD,IMDEX Limited,$1.045,-0.015,-1.42%,$395.87 M,-25.36%
382,383,up,SLK,Sealink Travel Group,$3.90,+0.06,+1.56%,$395.57 M,-1.27%
383,384,down,HUO,Huon Aquaculture Group,$4.525,-0.005,-0.11%,$395.20 M,-4.54%
384,385,up,JHC,Japara Healthcare LT,$1.47,+0.01,+0.69%,$392.85 M,-22.02%
385,386,up,SYR,Syrah Resources,$1.135,+0.005,+0.44%,$390.78 M,-63.62%
386,387,up,MYS,Mystate Limited,$4.27,+0.04,+0.95%,$388.74 M,-10.29%
387,388,up,MIR,Mirrabooka Invest,$2.38,+0.01,+0.42%,$381.91 M,-7.03%
388,389,up,PWH,PWR Holdings Limited,$3.80,+0.04,+1.06%,$380.00 M,+57.03%
389,390,down,AD8,Audinategroupltd,$6.54,-0.03,-0.46%,$375.39 M,+111.65%
390,391,up,NCZ,New Century Resource,$0.74,+0.02,+2.78%,$373.87 M,-33.93%
391,392,up,SMR,Stanmore Coal Limited,$1.44,+0.06,+4.35%,$368.83 M,+125.00%
392,393,down,AQG,Alacer Gold Corp Chess Depositary Interests 1:1,$3.79,-0.04,-1.04%,$368.68 M,+45.77%
393,394,down,CLV,Clover Corporation,$2.23,-0.03,-1.33%,$368.36 M,+78.40%
394,395,up,FLN,Freelancer Limited,$0.81,+0.01,+1.25%,$368.14 M,+76.09%
395,396,no change,MNY,MONEY3 Corporation,$2.02,0.00,0.00%,$366.23 M,+12.22%
396,397,up,OFX,OFX Group Limited,$1.495,+0.025,+1.70%,$362.57 M,-19.84%
397,398,no change,ISX,Isignthis Limited,$0.335,0.00,0.00%,$361.60 M,+97.06%
398,399,down,ED1,Evans Dixon,$1.55,-0.04 ,-2.52%,$358.93 M,-42.80%
399,400,down,EOS,Electro Optic SYS,$3.72,-0.01,-0.27%,$357.51 M,+21.17%
400,401,down,SGLLV,Sunrice Class B Limited-Voting,$6.00,-0.08,-1.32%,$352.35 M,-27.71%
401,402,down,IVE,Ishs MSCI Eafe ETF ETF Units FP,$92.81,-0.03,-0.03%,$348.08 M,-2.68%
402,403,no change,DFM,Dongfang Modern AG,$0.82,0.00,0.00%,$344.69 M,-44.41%
403,404,no change,PIC,Perpetual Equity Limited,$0.99,0.00,0.00%,$342.24 M,-11.93%
404,405,down,CGL,The Citadel Group,$6.94,-0.03,-0.43%,$341.86 M,+8.78%
405,406,down,PIXX,Platinum Int Fund Trading Managed Fund Units FP,$4.81,-0.03,-0.62%,$338.88 M,-16.20%
406,407,error,UOS,United Overseas Aust,$0.67,0.00,0.00%,$335.31 M,-3.60%
407,408,down,MVP,Medical Developments,$5.09,-0.23,-4.32%,$333.48 M,-29.40%
408,409,no change,PL8,Plato Inc MAX Limited,$1.09,0.00,0.00%,$323.60 M,+4.81%
409,410,down,USD,Betashares US Dollar ETF Units FP,$14.03,-0.06,-0.43%,$322.05 M,+7.43%
410,411,up,JLG,Johns LYNG Group,$1.45,+0.005,+0.35%,$322.03 M,+3.57%
411,412,up,AQZ,Alliance Aviation,$2.55,+0.04,+1.59%,$320.07 M,+48.69%
412,413,down,IGL,Ivegroup,$2.16,-0.03,-1.37%,$320.07 M,-3.57%
413,414,no change,MICH,Mag. Infra. Fund CH Trading Managed Fund Units FP,$3.02,0.00,0.00%,$317.64 M,+8.63%
414,415,up,VRT,Virtus Health Limited,$3.94,+0.03,+0.77%,$316.74 M,-30.88%
415,416,no change,CVC,CVC Limited,$2.64,0.00,0.00%,$315.09 M,+9.09%
416,417,no change,CCX,City Chic Collective,$1.63,0.00,0.00%,$313.35 M,+352.78%
417,418,up,MOT,MCP Income Opp Trust Ordinary Units FP,$2.08,+0.03,+1.46%,$312.00 M,+1.96%
418,419,no change,MNF,MNF Group Limited,$4.25,0.00,0.00%,$311.98 M,-16.01%
419,420,up,ILC,ETF Units FP,$24.76,+0.04,+0.16%,$308.44 M,+3.77%
420,421,down,ETHI,Betasustainability ETF Units FP,$8.52,-0.08,-0.93%,$307.17 M,+11.37%
421,422,down,ECX,Eclipx Group Limited,$0.96,-0.045,-4.48%,$306.85 M,-68.83%
422,423,up,GRR,Grange Resources,$0.265,+0.01,+3.92%,$306.70 M,+55.88%
423,424,no change,BCK,Brockman Mining Limited,$0.033,0.00,0.00%,$304.30 M,+65.00%
424,425,up,AGG,Anglogold Ashanti Cdi 5:1 Foreign Exempt Jse,$3.41,+0.02,+0.59%,$304.20 M,+42.68%
425,426,no change,BSE,Base Res Limited,$0.26,0.00,0.00%,$303.32 M,+4.00%
426,427,up,GTN,GTN Limited,$1.35,+0.035,+2.66%,$302.81 M,-30.77%
427,428,up,MWY,Midway Limited,$3.46,+0.01,+0.29%,$301.96 M,+41.22%
428,429,up,CAN,Cann Group Limited,$2.15,+0.01,+0.47%,$300.58 M,-40.28%
429,430,down,NWSLV,News Corp Class A Non-Voting Common Stock-Cdi 1:1,$16.64,-0.67,-3.87%,$300.26 M,-24.71%
430,431,up,YMAX,Betasharesyieldmax Trading Managed Fund Units FP,$8.42,+0.01,+0.12%,$300.01 M,-4.86%
431,432,up,NZK,NZK Salmon Limited Foreign Exempt NZX,$2.16,+0.09,+4.35%,$299.31 M,-3.57%
432,433,up,DJRE,SPDR DJ Global REIT ETF Units FP,$22.86,+0.06,+0.26%,$298.90 M,+9.01%
433,434,no change,MRN,MACQ Media Limited,$1.745,0.00,0.00%,$298.75 M,+28.78%
434,435,down,PFP,Propel Funeral,$3.03,-0.05,-1.62%,$298.48 M,+0.33%
435,436,up,BGL,Bellevue Gold Limited,$0.61,+0.015,+2.52%,$297.49 M,+229.73%
436,437,up,ALI,Argo Global Limited,$2.10,+0.01,+0.48%,$297.23 M,+21.39%
437,438,up,SRV,Servcorp Limited,$3.06,+0.01,+0.33%,$296.26 M,-28.84%
438,439,down,RHP,Rhipe Limited,$2.13,-0.07,-3.18%,$296.03 M,+97.22%
439,440,up,ATS,Australis Oil & Gas,$0.30,+0.005,+1.70%,$295.55 M,-24.05%
440,441,no change,PLUS,Vaneck Au Corp Bond ETF Units FP,$18.05,0.00,0.00%,$295.25 M,+4.16%
441,442,down,VHT,Volpara Health Tech,$1.63,-0.06,-3.55%,$293.07 M,+132.86%
442,443,up,QVE,QV Equities Limited,$1.055,+0.005,+0.48%,$291.54 M,-8.26%
443,444,down,OGC,Oceanagold Corp Chess Depositary Interest 1:1,$4.09,-0.03,-0.73%,$287.57 M, +13.93%
444,445,down,LVT,Livetiles Limited,$0.44,-0.025,-5.38%,$287.52 M,+7.32%
445,446,down,VGE,VNGD Emerging MKTS ETF Units FP,$66.60,-0.08,-0.12%,$287.37 M,-2.20%
446,447,up,AGI,Ainsworth Game Tech,$0.85,+0.035,+4.29%,$286.28 M,-27.04%
447,448,no change,BBN,Baby Bunting Group Limited,$2.26,0.00,0.00%,$285.76 M,+45.81%
448,449,down,VLW,Villa World Limited,$2.28,-0.02,-0.87%,$285.37 M,-8.43%
449,450,up,ADH,Adairs Limited,$1.695,+0.015,+0.89%,$281.16 M,-22.25%
450,451,up,INR,Ioneer Limited,$0.19,+0.005,+2.70%,$280.25 M,-60.00%
451,452,up,AJM,Altura Mining Limited,$0.13,+0.005,+4.00%,$276.31 M,-64.87%
452,453,no change,SEA,Sundance Energy,$0.40,0.00,0.00%,$274.99 M,-47.37%
453,454,no change,GZL,GAZAL Corporation,$6.14,0.00,0.00%,$274.38 M,+147.58%
454,455,no change,EGD,E&P GBL Disruption Ordinary Units FP,$2.14,0.00,0.00%,$273.56 M,+5.42%
455,456,up,VIF,VD Int (Hedged) ETF ETF Units FP,$49.01,+0.15,+0.31%,$273.34 M,+2.19%
456,457,down,RDV,Russell High DIV ETF ETF Units FP,$28.85,-0.05,-0.17%,$273.25 M,-1.74%
457,458,up,FAIR,Betaausustainability ETF Units FP,$17.26,+0.03,+0.17%,$272.75 M,+9.73%
458,459,no change,HBRD,Beta Active Hybrids Trading Managed Units FP,$10.05,0.00,0.00%,$272.59 M,+1.52%
459,460,down,TGG,Templeton Global,$1.255,-0.005,-0.40%,$272.09 M,-10.99%
460,461,down,WGN,Wagners HLD Company,$1.675,-0.03,-1.76%,$270.30 M,-57.70%
461,462,up,WAF,West African Res Limited,$0.31,+0.01,+3.33%,$269.51 M,-13.89%
462,463,down,DTL,Data#3 Limited,$1.75,-0.025,-1.41%,$269.46 M,+2.94%
463,464,up,MLD,Maca Limited,$1.005,+0.005,+0.50%,$269.35 M,-20.55%
464,465,down,A40,Alliance Mineral,$0.205,-0.01,-4.65%,$267.59 M,-37.88%
465,466,down,IJP,Ishs MSCI Japan ETF ETF Units FP,$77.30,-0.37,-0.48%,$265.93 M,-4.82%
466,467,up,VTG,Vita Group Limited,$1.635,+0.01,+0.62%,$265.06 M,+39.74%
467,468,no change,OCL,Objective Corp,$2.85,0.00,0.00%,$264.18 M,-10.94%
468,469,down,OTW,Over the Wire Limited,$5.12,-0.03,-0.58%,$264.06 M,+68.98%
469,470,down,PIA,Pengana Int EQU Limited,$1.04,-0.005,-0.48%,$263.46 M,-8.77%
470,471,down,SKO,Serko Foreign Exempt NZX,$3.25,-0.05,-1.52%,$263.00 M,+14.84%
471,472,down,PAR,Paradigm Bio,$1.45,-0.05,-3.33%,$262.75 M,+233.65%
472,473,down,PEA,Pacific Energy,$0.61,-0.015,-2.40%,$262.36 M,+6.09%
473,474,up,ANO,Advance Nanotek Limited,$4.50,+0.07,+1.58%,$261.57 M,+800.63%
474,475,up,AFG,Aust Finance Group,$1.21,+0.02,+1.68%,$259.92 M,-13.57%
475,476,down,NBL,Noni B Limited,$2.66,-0.03,-1.12%,$257.79 M,+8.57%
476,477,up,RBL,Redbubble Limited,$1.00,+0.06,+6.38%,$256.16 M,-37.22%
477,478,no change,CDM,Cadence Capital,$0.78,0.00,0.00%,$249.83 M,-39.30%
478,479,up,MVF,Monash Ivf Group Limited,$1.06,+0.005,+0.47%,$249.72 M,-10.17%
479,480,no change,TWR,Tower Limited Foreign Exempt NZX,$0.74,0.00,0.00%,$249.62 M,-4.52%
480,481,down,RVA,Reva Medical Inc Cdi 10:1,$0.595,-0.025,-4.03%,$245.41 M,-40.50%
481,482,up,VACF,Van Aus Corp Fi ETF ETF Units FP,$52.08,+0.01,+0.02%,$242.12 M,+3.52%
482,483,up,CAT,Catapult Group Int Limited,$1.265,+0.06,+4.98%,$241.48 M,-2.32%
483,484,up,VSO,VNGD Aus Small ETF Units FP,$57.28,+0.6,+1.06%,$240.61 M,+0.04%
484,485,down,BFG,Bell Financial Group,$0.75,-0.005,-0.66%,$240.56 M,+6.48%
485,486,down,SDG,Sunland Group Limited,$1.65,-0.025,-1.49%,$240.27 M,-6.78%
486,487,up,BWX,BWX Limited,$1.92,+0.02,+1.05%,$238.56 M,-61.68%
487,488,down,PET,Phoslock ENV Tec Limited,$0.44,-0.01,-2.22%,$238.50 M,+46.67%
488,489,up,TBR,Tribune Res Limited,$4.29,+0.04,+0.94%,$238.11 M,-33.49%
489,490,up,QOZ,Betasharesrafiaus ETF Units FP,$13.49,+0.02,+0.15%,$237.04 M,-1.39%
490,491,up,FLC,Fluence Corporation,$0.44,+0.01,+2.33%,$236.45 M,+2.33%
491,492,down,QRI,Qualitas Re Income Ordinary Units FP,$1.635,-0.015,-0.91%,$236.27 M,+2.19%
492,493,no change,AQR,Apn CONV Retail REIT FP Units Stapled Securities,$2.99,0.00,0.00%,$235.97 M,+11.15%
493,494,no change,WAX,Wam Research Limited,$1.235,0.00,0.00%,$235.77 M,-18.75%
494,495,no change,LNG,Liquefied Natural,$0.41,0.00,0.00%,$234.44 M,-15.46%
495,496,up,TER,Terracom Limited,$0.575,+0.02,+3.60%,$233.58 M,+109.09%
496,497,up,AMH,Amcil Limited,$0.85,+0.003 ,+0.35%,$233.40 M,-6.59%
497,498,no change,ASG,Autosports Group Limited,$1.16,0.00,0.00%,$233.16 M,-37.30%
498,499,no change,KAR,Karoon Energy Limited,$0.945,0.00,0.00%,$232.66 M,-18.88%
499,500,up,QMS,QMS Media Limited,$0.71,+0.01,+1.43%,$231.92 M,-35.46%
500,501,up,PAC,Pacific Group Limited,$4.86,+0.06,+1.25%,$231.54 M,-18.73%
501,502,no change,RCR,RCR Tomlinson,$0.87,0.00,0.00%,$231.11 M,-70.01%
502,503,up,HFR,Highfield Res Limited,$0.70,+0.005,+0.72%,$230.67 M,-15.15%
503,504,down,VEQ,VGD Ftse Eur Shares ETF Units FP,$55.30,-0.39,-0.70%,$228.97 M,-4.11%
504,505,up,IHD,Ishares S&P DIV Opp ETF Units FP,$13.74,+0.07,+0.51%,$228.78 M,-0.36%
505,506,down,FRI,Finbar Group Limited,$0.84,-0.01,-1.18%,$228.72 M,-13.40%
506,507,down,HE8,Helios Energy Limited,$0.185,-0.005,-2.63%,$227.49 M,+351.22%
507,508,no change,RMC,Resimac Group Limited,$0.56,0.00,0.00%,$227.24 M,+12.00%
508,509,no change,GDF,Garda DIV Prop Fund Ordinary Units FP,$1.43,0.00,0.00%,$226.58 M,+22.75%
509,510,up,BLX,Beacon Lighting Group,$1.03,+0.03,+3.00%,$224.48 M,-28.82%
510,511,down,TGP,360 Capital Group FP Ordinary/Units Stapled Securities,$0.97,-0.005,-0.51%,$223.95 M,-6.28%
511,512,no change,AFP,Aft Pharmaceuticals Foreign Exempt NZX,$2.30,0.00,0.00%,$223.81 M,-4.17%
512,513,down,WDIV,SPDR Global Dividend ETF Units FP,$19.46,-0.05,-0.26%,$223.33 M,-1.02%
513,514,up,VGB,VNGD Aus GOV Bond ETF Units FP,$51.73,+0.02,+0.04%,$223.22 M,+6.38%
514,515,no change,A2B,A2B Australia Limited,$1.85,0.00,0.00%,$222.80 M,-2.63%
515,516,down,MHJ,Michael Hill Int,$0.575,-0.035,-5.74%,$222.78 M,-37.84%
516,517,down,EXL,Elixinol Global,$4.67,-0.22,-4.50%,$220.44 M,+174.71%
517,518,down,EOF,Ecofibre Limited,$1.905,-0.065,-3.30%,$220.17 M,+12.06%
518,519,up,ALF,Australian Leaders,$0.885,+0.01,+1.14%,$219.36 M,-14.08%
519,520,no change,PDN,Paladin Energy Limited,$0.125,0.00,0.00%,$219.01 M,0.00%
520,521,up,ARQ,ARQ Group Limited,$1.82,+0.01,+0.55%,$217.84 M,-48.73%
521,522,no change,AEF,Australian Ethical,$1.94,0.00,0.00%,$217.46 M,+43.39%
522,523,no change,CLQ,Clean TEQ Holdings Limited,$0.29,0.00,0.00%,$216.47 M,-74.22%
523,524,down,AVJ,Avjennings Limited,$0.525,-0.005,-0.94%,$213.27 M,-26.57%
524,525,down,NXS,Next Science Limited,$2.07,-0.13,-5.91%,$212.41 M,+53.33%
525,526,no change,KSC,K & S Corporation,$1.66,0.00,0.00%,$211.28 M,-8.29%
526,527,down,COI,Comet Ridge Limited,$0.29,-0.005,-1.70%,$211.08 M,-15.94%
527,528,no change,RCB,Russaustcorpbondetf ETF Units FP,$20.72,0.00,0.00%,$208.79 M,+3.24%
528,529,down,BYE,Byron Energy Limited,$0.30,-0.005,-1.64%,$208.61 M,-25.00%
529,530,up,CRD,Credible Labs Chess Depositary Interests 25:1,$1.585,+0.085,+5.67%,$207.98 M,+86.47%
530,531,up,MMI,Metro Mining Limited,$0.15,+0.015,+11.11%,$207.73 M,-40.00%
531,532,down,WDMF,Ishares Edge WLD MF ETF Units FP,$31.79,-0.2,-0.63%,$207.42 M,-2.46%
532,533,no change,PE1,Pengana Private Ordinary Units FP,$1.25,0.00,0.00%,$205.03 M,+0.81%
533,534,up,ABA,Auswide Bank Limited,$4.86,+0.05,+1.04%,$205.01 M,-11.64%
534,535,up,PSQ,Pacific Smiles Group,$1.345,+0.025,+1.89%,$204.43 M,-19.94%
535,536,down,WLL,Wellcom Group Limited,$5.19,-0.02,-0.38%,$203.60 M,+22.99%
536,537,no change,CVL,Civmec Limited Chess Depositary Interests 1:1,$0.405,0.00,0.00%,$202.91 M,-46.71%
